SIG_CD,SIG_KOR_NM,density,log_density,local_I_density,local_p_sim_density,local_q_density,lisa_sig_density,lisa_cluster_density,lisa_hh_density
46910,½Å¾È±º,822.9337681039352,6.7140901481643045,-1.406633416441075,0.083,2,False,Not significant,False
47111,Æ÷Ç×½Ã ³²±¸,2147.687020463705,7.6726122464193285,0.3333727295144747,0.234,3,False,Not significant,False
47113,Æ÷Ç×½Ã ºÏ±¸,1273.7176108183078,7.150479951350699,0.3333727295144747,0.414,3,False,Not significant,False
47130,°æÁÖ½Ã,2391.512789910075,7.7800994691477525,0.19233353870845651,0.122,3,False,Not significant,False
47150,±èÃµ½Ã,2194.4906118307367,7.694160813896404,0.16889854728308681,0.148,3,False,Not significant,False
47170,¾Èµ¿½Ã,1122.9634132957751,7.02461647947526,0.5834204529641169,0.073,3,False,Not significant,False
47190,±¸¹Ì½Ã,3033.5733744311606,8.017826125056459,0.0369785785488751,0.075,3,False,Not significant,False
47210,¿µÁÖ½Ã,4444.308076732302,8.399604454147468,-0.40387944297869677,0.205,4,False,Not significant,False
47230,¿µÃµ½Ã,2913.676390096575,7.9775140772176645,0.07608239801949007,0.044,3,True,LL,False
47250,»óÁÖ½Ã,1971.1332135350494,7.5868710853835735,0.21417066099978174,0.139,3,False,Not significant,False
47280,¹®°æ½Ã,1371.3725547533934,7.224296312790593,0.5369232655523626,0.031,3,True,LL,False
47290,°æ»ê½Ã,2714.7203165077804,7.906812507127192,0.08533750156283176,0.171,3,False,Not significant,False
47730,ÀÇ¼º±º,1830.223631382808,7.512739673416824,0.3471290129289364,0.03,3,True,LL,False
47750,Ã»¼Û±º,361.9673770359043,5.8943129598017565,0.7963713208214731,0.021,3,True,LL,False
47760,¿µ¾ç±º,151.2400246217201,5.025458384717519,1.2301983780620853,0.026,3,True,LL,False
47770,¿µ´ö±º,401.4957933924304,5.997684645605073,1.302824013815773,0.041,3,True,LL,False
47820,Ã»µµ±º,1340.2347046383484,7.201345890068774,0.1693848952452698,0.314,3,False,Not significant,False
47830,°í·É±º,3982.9341375164718,8.290025086819965,-0.27125184922958556,0.169,4,False,Not significant,False
47840,¼ºÁÖ±º,1811.8132378146922,7.502635192660303,0.24446596392711709,0.166,3,False,Not significant,False
47850,Ä¥°î±º,2183.3934543292053,7.689093473720316,0.21846750740895338,0.079,3,False,Not significant,False
47900,¿¹Ãµ±º,2276.959576519879,7.731035398687204,0.2763941030126816,0.017,3,True,LL,False
47920,ºÀÈ­±º,1214.4613025444357,7.102878956593219,0.29476047203134204,0.35,3,False,Not significant,False
47930,¿ïÁø±º,266.2453597763037,5.588167186896809,1.46699636908279,0.011,3,True,LL,False
47940,¿ï¸ª±º,299.24820699133187,5.7046094892231345,-0.0,0.001,3,True,LL,False
48121,Ã¢¿ø½Ã ÀÇÃ¢±¸,1828.127789979983,7.511594514719967,0.3086283729219526,0.346,3,False,Not significant,False
48123,Ã¢¿ø½Ã ¼º»ê±¸,1832.048313971512,7.513735605360052,0.3086283729219526,0.343,3,False,Not significant,False
48125,Ã¢¿ø½Ã ¸¶»êÇÕÆ÷±¸,1420.9042909429133,7.259752302150721,0.5351418458447375,0.254,3,False,Not significant,False
48127,Ã¢¿ø½Ã ¸¶»êÈ¸¿ø±¸,1368.7906837723779,7.222413221581659,0.5351418458447375,0.259,3,False,Not significant,False
48129,Ã¢¿ø½Ã ÁøÇØ±¸,774.3218464346073,6.653278228868172,0.6060272478767231,0.307,3,False,Not significant,False
48170,ÁøÁÖ½Ã,1646.6077062250556,7.407079639793677,-0.0,0.001,3,True,LL,False
48220,Åë¿µ½Ã,344.2136393372783,5.844163469834506,-0.0,0.001,3,True,LL,False
48250,±èÇØ½Ã,6907.371553755203,8.840489223829882,-0.9684199124190996,0.18,4,False,Not significant,False
48270,¹Ð¾ç½Ã,1774.3534710470788,7.481754820702126,-0.018471954919004597,0.415,2,False,Not significant,False
48310,°ÅÁ¦½Ã,395.83900573635356,5.983530671326375,-0.0,0.001,3,True,LL,False
48330,¾ç»ê½Ã,1436.9932035739696,7.271003811965212,-0.3287899364327817,0.239,2,False,Not significant,False
48720,ÀÇ·É±º,2745.3981536804004,7.918045569874249,-0.03541363074383867,0.35,2,False,Not significant,False
48730,ÇÔ¾È±º,3675.9098736995693,8.209827970176718,-0.03541363074383867,0.452,4,False,Not significant,False
48740,Ã¢³ç±º,3444.9998050566837,8.144969360516974,-0.05608700687579757,0.14,4,False,Not significant,False
48820,°í¼º±º,4541.571201983702,8.421248474772401,0.0,0.001,4,True,HL,False
48840,³²ÇØ±º,1047.4059977999402,6.95502619234088,-0.0,0.001,3,True,LL,False
48850,ÇÏµ¿±º,2622.354181041431,7.872208999741532,0.1897962225860254,0.039,3,True,LL,False
48860,»êÃ»±º,1090.721372929021,6.995510970752385,0.44159296031589235,0.252,3,False,Not significant,False
48870,ÇÔ¾ç±º,1229.8557162601342,7.115464910752958,0.4131203128969187,0.175,3,False,Not significant,False
48880,°ÅÃ¢±º,1902.1153672414243,7.551247489337432,0.23881038266391533,0.222,3,False,Not significant,False
48890,ÇÕÃµ±º,2239.532432141321,7.714468809524831,0.1288811366680055,0.314,3,False,Not significant,False
50110,Á¦ÁÖ½Ã,4578.0989885676645,8.429257530367888,0.0,0.001,4,True,HL,False
50130,¼­±ÍÆ÷½Ã,1955.778401473042,7.579054727194683,-0.0,0.001,3,True,LL,False
51110,ÃáÃµ½Ã,655.5874557824196,6.487055900076006,1.1197986611106923,0.002,3,True,LL,False
51130,¿øÁÖ½Ã,2065.099309533759,7.633417717030506,0.31066929217415484,0.078,3,False,Not significant,False
51150,°­¸ª½Ã,1246.2340738950918,7.12868363768395,-0.0,0.001,3,True,LL,False
51170,µ¿ÇØ½Ã,5171.017094504963,8.551018045088329,0.0,0.001,4,True,HL,False
51190,ÅÂ¹é½Ã,272.29457578858944,5.6105502456407965,1.4007163367525017,0.001,3,True,LL,False
51210,¼ÓÃÊ½Ã,364.94101238897827,5.902472152076229,1.2662974814069377,0.058,3,False,Not significant,False
51720,È«Ãµ±º,687.8660069092807,6.535046777368457,0.9109512956812168,0.006,3,True,LL,False
51730,È¾¼º±º,1597.9363748774501,7.377093921471588,0.504073889200308,0.042,3,True,LL,False
51750,¿µ¿ù±º,362.3734345654174,5.895431050828253,1.2827124900811853,0.001,3,True,LL,False
51760,ÆòÃ¢±º,343.8926544192978,5.8432332220044785,1.3665011708997838,0.001,3,True,LL,False
51770,Á¤¼±±º,203.87651362779536,5.322407425091835,1.4122750492496075,0.001,3,True,LL,False
51780,Ã¶¿ø±º,2559.6813057705353,7.848028637132568,0.023985361278391047,0.482,3,False,Not significant,False
51790,È­Ãµ±º,403.2762525722827,6.002098437776647,0.5750116776907402,0.092,3,False,Not significant,False
51800,¾ç±¸±º,372.1199090031479,5.921899839841115,1.2388942946357777,0.012,3,True,LL,False
51810,ÀÎÁ¦±º,127.44975841084778,4.855537842751071,1.354490798476551,0.073,3,False,Not significant,False
51820,°í¼º±º,512.4743633113176,6.241200102730512,1.354490798476551,0.002,3,True,LL,False
51830,¾ç¾ç±º,477.19841591067825,6.1700257424103695,1.2662974814069374,0.042,3,True,LL,False
52111,ÀüÁÖ½Ã ¿Ï»ê±¸,8082.055141455435,8.997525191615244,-0.1880721766545759,0.425,4,False,Not significant,False
52113,ÀüÁÖ½Ã ´öÁø±¸,2967.832736464373,7.995924136519456,-0.18807217665457587,0.065,2,False,Not significant,False
52140,ÀÍ»ê½Ã,5578.48390604826,8.626851561142388,0.5617633118886457,0.242,1,False,Not significant,False
52180,Á¤À¾½Ã,6553.657903656467,8.787931206225167,-0.07382003599293119,0.48,4,False,Not significant,False
52190,³²¿ø½Ã,3280.209113932138,8.095967265746381,0.0,0.001,4,True,HL,False
52210,±èÁ¦½Ã,5878.211052273521,8.679177857107016,0.0,0.001,4,True,HL,False
52710,¿ÏÁÖ±º,1524.2053721433012,7.32988435023219,0.2933864000377131,0.402,3,False,Not significant,False
52720,Áø¾È±º,661.568548276435,6.4961240216043254,0.8581285803837259,0.027,3,True,LL,False
52730,¹«ÁÖ±º,488.5207362324853,6.193426823141725,0.9526368852130079,0.01,3,True,LL,False
52740,Àå¼ö±º,2059.5809034330705,7.630743213989168,0.4511150519537807,0.01,3,True,LL,False
52750,ÀÓ½Ç±º,2135.722040234222,7.6670281767770465,0.2933864000377131,0.265,3,False,Not significant,False
52770,¼øÃ¢±º,2581.3957106156536,7.856472817067301,0.002996439004847376,0.468,3,False,Not significant,False
52790,°íÃ¢±º,4606.0365854612355,8.435340106180972,0.24854197315125434,0.245,1,False,Not significant,False
52800,ºÎ¾È±º,4029.450781975738,8.30163350525491,0.0,0.001,4,True,HL,False
